id,question,generated_answer,retrieved_book,retrieved_pages,confidence,retrieval_time,llm_time,total_time,retrieval_accuracy,precision_at_5,recall_at_5,mrr,ndcg_at_5,hit_rate_at_5,faithfulness,answer_relevance,groundedness,hallucination,latency,explainability,clinical_reliability,status
Q001,What are the three main anatomical divisions of the larynx?,"Glottis, supraglottis, and subglottis. (cancer-principles-and-practice-of-oncology-6e, Page: 591)",cancer-principles-and-practice-of-oncology-6e,591; 590,Medium,3.85,53.71,57.65,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.7197,0.4,0.0,57.65,0.75,0.5299,SUCCESS
Q002,What are the major goals when treating carcinoma of the larynx?,"According to Book: cancer-principles-and-practice-of-oncology-6e, Page 179:

The principles of fractionated radiation therapy for carcinoma of the larynx by Coutard laid the foundation for the development of radiation therapy. The major goals include:

1. Fractionation is important.
2. A relation exists between the acute reaction of the skin and oropharyngeal mucosa to cure and to late effects.

These principles emphasize the importance of fractionation in radiation therapy",cancer-principles-and-practice-of-oncology-6e,178; 179,Medium,2.55,40.91,43.53,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7872,0.7391,0.125,43.53,1.0,0.7253,SUCCESS
Q003,Which threshold of distant recurrence risk is often used to recommend systemic adjuvant chemotherapy in early stage breast cancer?,,cancer-principles-and-practice-of-oncology-6e,1157,Medium,4.08,29.73,33.91,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,33.91,0.0,0.0,GENERATION_FAILED
Q004,What do the 'ABCDEs' of early malignant melanoma diagnosis stand for?,,cancer-principles-and-practice-of-oncology-6e,1487,High,0.98,37.51,38.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,38.54,1.0,1.0,GENERATION_FAILED
Q005,What is Xeroderma pigmentosum?,"Xeroderma pigmentosum is an autosomal recessive disease characterized by extreme photosensitivity, premature aging of skin, and neoplasia of skin and other organs. The molecular basis for this disease is inability to repair the types of DNA damage caused by ultraviolet light. Complementation studies suggest that there are at least eight different genes for this phenotype (genetic heterogeneity).",cancer-principles-and-practice-of-oncology-6e,131,High,0.66,41.23,41.96,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.8248,1.0,0.0,41.96,0.0,0.9562,SUCCESS
Q006,Which imaging modalities are used to evaluate the extent of local involvement and regional nodal basins for high-risk squamous cell carcinoma (SCC)?,,cancer-principles-and-practice-of-oncology-6e,880,Low,1.88,33.09,35.03,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,35.03,0.0,0.0,GENERATION_FAILED
Q007,Activating point mutations in which gene are seen in 85% to 95% of patients with gastrointestinal stromal tumors (GISTs)?,,The MD Anderson Manual of Medical Oncology 3e,444; 443,Medium,1.87,30.81,32.73,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,32.73,0.0,0.0,GENERATION_FAILED
Q008,What is the most common presenting symptom for head and neck cancers?,"Pain. (Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli, Page: 131)",22.-Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli-Textbook-of-Medical-Oncology-PDFDrive-,131,Low,0.9,43.85,44.8,1.0,0.6,1.0,0.5,0.7328,1.0,0.0,0.659,0.1111,1.0,44.8,0.75,0.1925,SUCCESS
Q009,What pathological features at the primary tumor site are associated with worse prognosis in head and neck cancers?,Alveolar histology is prognostically unfavorable.,cancer-principles-and-practice-of-oncology-6e,1577,High,1.58,31.4,33.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6659,1.0,0.0,33.05,0.0,0.9165,SUCCESS
Q010,What is the mainstay of treatment for early-stage head and neck cancer?,"Surgery, with curative intent using single modality strategies (surgery or radiotherapy), is the mainstay of treatment for early-stage head and neck cancer.",22.-Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli-Textbook-of-Medical-Oncology-PDFDrive-,131; 132,High,0.8,45.17,46.04,1.0,0.6,1.0,0.3333,0.6183,1.0,1.0,0.8694,0.9375,0.1667,46.04,0.0,0.9101,SUCCESS
